Timestamp,Station,District,Route,Direction of travel,Lane type,Station length,Samples,% Observed,total_flow,Delay(V_t=35),Delay(V_t=40),Delay(V_t=45),Delay(V_t=50),Delay(V-t=55),Delay(V_t=60)
5/1/2023 0:00,312523,3,99,N,ML,0.434,8627,100,77952,0.3,1.2,2.9,7.1,16.5,33.4
5/1/2023 0:00,312524,3,99,S,FR,,2877,100,4234,,,,,,
5/1/2023 0:00,312525,3,99,N,ML,0.248,8621,100,78612,0.1,0.8,2.3,5.3,10.9,20.7
5/1/2023 0:00,312526,3,99,N,OR,,2875,100,5126,,,,,,
5/1/2023 0:00,312527,3,99,N,ML,0.594,8625,100,81387,0,0.5,2.8,8,20.4,43.4
5/1/2023 0:00,312528,3,99,N,OR,,2875,100,6841,,,,,,
5/1/2023 0:00,312529,3,99,N,FR,,2875,100,3149,,,,,,
5/1/2023 0:00,312562,3,99,N,ML,0.206,8832,62,81508,46.3,58.2,70,82.1,93.8,106.8
5/1/2023 0:00,312563,3,99,N,OR,,2337,82,10632,,,,,,
5/1/2023 0:00,312564,3,99,S,ML,0.423,11484,100,76884,7.2,12.1,20.5,31.9,45.8,63.5
5/1/2023 0:00,312566,3,99,N,ML,0.84,8614,100,46565,0,0,0,0,0.2,3.4
5/1/2023 0:00,312569,3,99,N,FF,,2875,100,27580,,,,,,
5/1/2023 0:00,312570,3,99,S,ML,0.432,5756,100,43973,0,0,1.2,7.9,21,36.4
5/1/2023 0:00,312648,3,99,N,ML,0.644,5693,100,48669,0,0.2,1.9,5.3,13.6,27.9
5/1/2023 0:00,312649,3,99,N,OR,,5696,100,7071,,,,,,
5/1/2023 0:00,312650,3,99,N,FR,,2848,100,10146,,,,,,
5/1/2023 0:00,312651,3,99,N,ML,0.503,8542,100,55693,0,0,0,0.4,2,7.6
5/1/2023 0:00,312652,3,99,N,OR,,8547,100,12076,,,,,,
5/1/2023 0:00,312689,3,51,N,ML,0.561,11455,75,56119,10.1,12.3,14.2,16,17.7,19.8
5/1/2023 0:00,312692,3,51,N,OR,,5746,0,,,,,,,
5/1/2023 0:00,312694,3,51,N,ML,0.426,11470,100,25656,40.8,46.5,51.5,55.8,60.4,66.5
5/1/2023 0:00,312706,3,51,N,OR,,5750,0,,,,,,,
5/1/2023 0:00,312709,3,51,N,FR,,5750,100,9013,,,,,,
5/1/2023 0:00,312745,3,51,N,ML,0.427,8589,100,80418,75,95.2,112.1,127.5,144.5,165.7
5/1/2023 0:00,312746,3,51,N,OR,,5740,100,5736,,,,,,
5/1/2023 0:00,312757,3,51,S,ML,0.441,14365,100,77973,176.6,209.3,235.5,258.1,277.7,295.6
5/1/2023 0:00,312758,3,51,S,OR,,2876,100,6407,,,,,,
5/1/2023 0:00,312771,3,51,S,ML,0.218,8617,100,70437,111.2,127,139.5,150.2,159.8,170.3
5/1/2023 0:00,312772,3,51,S,OR,,5748,100,8522,,,,,,
5/1/2023 0:00,312773,3,51,S,FR,,2874,100,3090,,,,,,
5/1/2023 0:00,312782,3,51,N,ML,0.427,11499,100,74573,0,0.5,1.9,3.9,6,10.7
5/1/2023 0:00,312804,3,51,N,ML,0.352,10162,75,73085,4,6.1,7.8,9.9,12.5,18
5/1/2023 0:00,312805,3,51,N,OR,,2877,100,2166,,,,,,
5/1/2023 0:00,312806,3,51,N,FR,,5754,100,11248,,,,,,
5/1/2023 0:00,312807,3,51,N,ML,0.417,11496,100,73385,14.4,20,24.7,29.3,33.6,38.6
5/1/2023 0:00,312808,3,51,N,OR,,2877,100,2806,,,,,,
5/1/2023 0:00,312854,3,51,S,ML,0.691,8551,100,66149,0,0,0,0,4.3,19.3
5/1/2023 0:00,312855,3,51,S,OR,,5704,100,11039,,,,,,
5/1/2023 0:00,312856,3,51,S,ML,0.219,8606,100,85334,0,0,0,0,0.3,7.3
5/1/2023 0:00,312857,3,51,S,ML,0.617,8604,100,85092,0,0,0,0.6,6,30.8
5/1/2023 0:00,312858,3,51,N,ML,0.224,5745,100,14232,0,0,0,0,0,0
5/1/2023 0:00,312865,3,51,N,ML,0.441,11485,100,91855,0,0.2,1.2,3.3,7.9,16.6
5/1/2023 0:00,312895,3,51,N,ML,0.5,11495,100,76474,29.4,41.8,60.8,83.3,105.1,126.8
5/1/2023 0:00,312896,3,51,N,ML,0.373,8620,100,63167,17,25.1,31.8,37.6,45,55
